"Scouter_Name"	"Event"	"Match_Number"	"Robot"	"Team_Number"	"Auton_Start_Position"	"Leaves_Line"	"Coral_Scored"	"Algae_Proccessed"	"Algae_Removed"	"Has_Ground_pickup"	"Coral_Scored_on_L1"	"Coral_Scored_on_L2"	"Coral_Scored_on_L3"	"Coral_Scored_on_L4"	"Barge_Algae_Scored"	"Processor_Algae_Scored"	"Barge_Status"	"Time_to_Climb"	"Can_Handle_Coral"	"Can_Handle_Algae"	"Driver_Skill"	"Defense_Skill"	"Human_Player_Skill"	"Comments"
AP	2025necmp1	3	b2	1991	L	Yes	0	No	No	No	No	No	No	No	0	2	Parked	Not Attempted	No	Yes	Low	Not Observed	Not Observed	Decent 
Tyler	2025necmp1	3	b1	9710	M	Yes	0	No	No	No	No	Yes	No	Yes	0	0	None	Not Attempted	Yes	No	Low	Didn't Defend	Not Observed	
Bw	2025necmp1	3	b3	3182	M	Yes	0	No	No	Yes	No	Yes	Yes	No	0	0	Parked	Not Observed	Yes	No	Medium	Low	Medium	
Curran	2025necmp1	3	r1	237	R	Yes	1	No	No	No	No	No	No	Yes	0	0	Parked	Not Attempted	Yes	No	Low	Didn't Defend	Medium	Slow, specialized on L4. Had aiming problems.
Curran	2025necmp1	3	r2	2064	L	Yes	0	No	No	No	No	Yes	Yes	No	0	0	Deep	'5-15	Yes	No	Low	Didn't Defend	Medium	Slow, good coral mechanism. Fast deep climb once set up
Oliver	2025necmp1	3	r3	181	M	Yes	0	No	No	Yes	No	Yes	Yes	No	0	4	None	Not Attempted	Yes	Yes	Medium	Didn't Defend	Not Observed	Ground pickup only observed for coral
AP	2025necmp1	4	b1	2370	L	Yes	0	No	No	No	No	Yes	Yes	Yes	0	0	Deep	'15-30	Yes	Yes	High	Didn't Defend	Low	Good
Leo red 2	2025necmp1	4	r2	95	R	Yes	2	No	No	Yes	Yes	No	No	Yes	0	0	Deep	'5-15	Yes	No	High	Didn't Defend	High	
Bw	2025necmp1	4	b2	2423	R	Yes	1	No	No	No	No	Yes	Yes	Yes	0	0	Parked	Not Attempted	Yes	No	High	Not Observed	High	
DD	2025necmp1	4	b3	10066	M	Yes	1	No	No	No	Yes	No	No	No	0	0	None	Not Attempted	Yes	No	Low	Didn't Defend	Not Observed	
Curran 	2025necmp1	4	r3	571	L	Yes	2	No	Yes	No	Yes	Yes	Yes	No	0	0	Parked	Not Attempted	No	Yes	High	Didn't Defend	Medium	Can remove algae and score l2 and L3. No deal climb 
Oliver	2025necmp1	4	r1	1071	M	Yes	1	No	Yes	No	No	Yes	Yes	Yes	0	0	Parked	'5-15	Yes	Yes	Low	Not Observed	Not Observed	They attempted to climb but failed, they struggled to score algae but were good at removing it from 
Bw	2025necmp1	5	b1	133	L	Yes	2	No	No	No	No	Yes	Yes	Yes	0	0	Deep	'5-15	Yes	Yes	High	Didn't Defend	High	
Dd	2025necmp1	5	b2	2342	R	Yes	0	No	No	No	Yes	Yes	Yes	Yes	0	0	Parked	Not Observed	Yes	No	Medium	Didn't Defend	Medium	
Tyer	2025necmp1	5	b3	4564	M	No	1	No	Yes	No	Yes	Yes	Yes	Yes	0	2	Parked	Not Attempted	Yes	Yes	Medium	Didn't Defend	Medium	
Curran 	2025necmp1	5	r3	4925	M	Yes	0	No	No	No	Yes	No	No	Yes	0	0	None	Not Attempted	Yes	No	Low	Didn't Defend	Medium	Very bad driving
Leo red 2	2025necmp1	5	r2	9101	L	Yes	1	No	Yes	No	No	No	Yes	No	0	1	Parked	Not Attempted	Yes	Yes	Medium	Didn't Defend	Low	Took multiple trys to load coral and "shaky" driving 
Oliver	2025necmp1	5	r1	501	R	Yes	0	No	No	Yes	No	No	No	No	0	2	Parked	Not Attempted	No	Yes	Low	Low	Not Observed	Played defense, only algae ground load, did not observe any coral handling.
DD	2025necmp1	6	b1	5422	L	Yes	0	No	No	No	No	Yes	Yes	Yes	0	0	Parked	Not Observed	Yes	No	Medium	Didn't Defend	Medium	
Tyer	2025necmp1	6	b2	6153	M	Yes	0	No	No	No	No	Yes	Yes	Yes	0	0	Parked	Not Attempted	Yes	No	High	Didn't Defend	Low	
AP	2025necmp1	6	b3	166	R	Yes	0	No	No	No	No	No	Yes	Yes	0	2	Deep	'5-15	Yes	Yes	Medium	Didn't Defend	Medium	Good
Leo red 2	2025necmp1	6	r2	999	R	Yes	1	No	No	No	Yes	Yes	No	Yes	0	1	Deep	'15-30	Yes	Yes	Medium	Didn't Defend	High	Great all-rounder
Oliver	2025necmp1	6	r1	7153	M	Yes	0	No	No	No	No	Yes	Yes	Yes	2	0	Deep	'15-30	Yes	Yes	Medium	Not Observed	Not Observed	Good at barge, and coral.
Curran 	2025necmp1	6	r3	190	L	Yes	2	No	No	No	No	Yes	Yes	Yes	0	0	Deep	'0-5	Yes	No	High	Didn't Defend	High	Insane driving. Filled most of the reef singlehandedly. Climbed in around 2 seconds
AP	2025necmp1	7	b3	4909	L	Yes	3	No	No	No	Yes	Yes	Yes	Yes	0	0	Parked	Not Observed	Yes	No	High	Didn't Defend	Medium	Good
Tyer	2025necmp1	7	b2	6328	R	Yes	1	No	No	No	Yes	Yes	Yes	Yes	0	1	Parked	Not Observed	Yes	Yes	High	Didn't Defend	High	
DD	2025necmp1	7	b1	8013	M	Yes	1	No	Yes	No	No	No	Yes	Yes	5	0	Deep	Not Observed	No	Yes	Medium	Didn't Defend	Not Observed	
Leo red 2	2025necmp1	7	r2	155	M	Yes	0	No	No	No	No	Yes	Yes	Yes	0	0	Deep	'15-30	Yes	No	Medium	Didn't Defend	Low	Human loader didn't prepare to load coral, lazy.
Oliver	2025necmp1	7	r1	4048	R	Yes	2	No	No	No	No	Yes	Yes	Yes	0	0	Deep	'5-15	Yes	Yes	Medium	Didn't Defend	Not Observed	Only algae handled was removing from reef.
Curran 	2025necmp1	7	r3	1721	L	Yes	0	No	No	No	No	No	No	No	0	4	Deep	'>30	No	Yes	Low	Didn't Defend	Not Observed	Ok at scoring in the processor
Tyer	2025necmp1	8	b2	125	R	Yes	3	No	No	Yes	Yes	Yes	Yes	Yes	1	0	Deep	'0-5	Yes	Yes	High	Didn't Defend	Medium	
AP	2025necmp1	8	b3	8544	M	Yes	0	No	No	No	No	No	No	Yes	0	2	None	Not Attempted	Yes	Yes	Medium	Low	Medium	Below average
Curran 	2025necmp1	8	r3	246	M	Yes	0	No	No	No	Yes	Yes	Yes	Yes	0	0	None	Not Attempted	No	Yes	Medium	Didn't Defend	Medium	Can score on all levels. Didn't park because they got stuck on algae.
DD	2025necmp1	8	b1	5687	L	Yes	4	No	No	No	Yes	Yes	Yes	Yes	0	3	Deep	'0-5	Yes	Yes	High	Didn't Defend	Medium	
Leo red 2	2025necmp1	8	r2	8567	L	Yes	0	No	No	No	No	No	Yes	Yes	0	2	None	Not Attempted	Yes	Yes	Medium	Didn't Defend	Medium	I could not tell if the elevator could allow them to score L2
Oliver	2025necmp1	8	r1	7127	R	Yes	2	No	No	No	Yes	No	Yes	Yes	0	0	Parked	Not Attempted	Yes	Yes	Medium	Didn't Defend	Medium	Can only remove algae and are good at coral.
AP	2025necmp1	9	b3	237	L	No	1	No	No	No	No	No	Yes	No	0	1	Parked	Not Attempted	Yes	Yes	Medium	Low	Medium	Decent
Leo red 2	2025necmp1	9	r2	8708	M	Yes	0	No	No	No	No	Yes	Yes	Yes	0	0	None	'0-5	Yes	Yes	Medium	Didn't Defend	Medium	Nothing notable, but algae mechanism isn't great
DD	2025necmp1	9	b1	8626	M	Yes	1	No	No	No	No	No	No	No	1	3	Parked	Not Observed	Yes	Yes	Medium	Didn't Defend	Not Observed	
Tyer	2025necmp1	9	b2	1073	R	Yes	2	No	No	No	No	No	Yes	Yes	0	0	Deep	'5-15	Yes	No	Medium	Didn't Defend	Medium	
Curran 	2025necmp1	9	r3	1071	L	Yes	1	No	No	No	Yes	Yes	Yes	Yes	0	0	Parked	'>30	Yes	No	Medium	Didn't Defend	Medium	Can score on all levels. Climb takes long. Can remove algae from the reef.
Oliver	2025necmp1	9	r1	663	R	Yes	0	No	No	No	No	Yes	Yes	Yes	0	0	None	Not Attempted	Yes	No	Medium	Didn't Defend	Not Observed	They did very little in auto.
Tyer	2025necmp1	10	b2	509	M	Yes	1	No	Yes	No	No	No	No	No	7	2	Deep	'0-5	Yes	No	Medium	Didn't Defend	Medium	
AP	2025necmp1	10	b3	230	R	Yes	0	No	No	No	No	No	Yes	Yes	0	1	Deep	'15-30	Yes	Yes	Medium	Didn't Defend	Medium	Very good 
DD	2025necmp1	10	b1	3467	L	Yes	3	No	No	No	No	Yes	Yes	Yes	1	0	Deep	'0-5	Yes	Yes	High	Didn't Defend	Not Observed	
Curran 	2025necmp1	10	r3	3182	R	Yes	1	No	No	Yes	No	Yes	Yes	No	0	0	Deep	'15-30	Yes	No	Medium	Didn't Defend	Not Observed	Specialized in l2 and L3. Good deep climb once they got set up. 
Leo red 2	2025necmp1	10	r2	501	M	Yes	0	No	No	No	No	No	No	No	0	1	Parked	'5-15	Yes	Yes	Medium	Medium	Not Observed	Similar to 4311 algae bot but slower
Oliver	2025necmp1	10	r1	2423	L	Yes	2	No	No	No	No	No	Yes	Yes	0	2	Parked	Not Attempted	Yes	Yes	Medium	Didn't Defend	Not Observed	Good at coral not algae amazingly in auto the robot realized wasn't loaded and returned to the huma.
