"match_number","red1","red2","red3","blue1","blue2","blue3","Predicted_Start"
"1","6329","2648","230","1729","663","1073","4/3/2025 5:14:26 PM"
"2","1058","509","9644","3467","8626","8708","4/3/2025 5:21:52 PM"
"3","237","2064","181","9710","1991","3182","4/3/2025 5:29:18 PM"
"4","1071","95","571","2370","2423","10066","4/3/2025 5:36:44 PM"
"5","501","9101","4925","133","2342","4564","4/3/2025 5:44:10 PM"
"6","7153","999","190","5422","6153","166","4/3/2025 5:51:36 PM"
"7","4048","155","1721","8013","6328","4909","4/3/2025 5:59:02 PM"
"8","7127","8567","246","5687","125","8544","4/3/2025 6:06:28 PM"
"9","663","8708","1071","8626","1073","237","4/3/2025 6:13:54 PM"
"10","2423","501","3182","3467","509","230","4/3/2025 6:21:20 PM"
"11","1991","571","2342","6153","6329","9101","4/3/2025 6:28:46 PM"
"12","7153","1058","166","4925","8013","2648","4/3/2025 6:36:12 PM"
"13","6328","181","1729","8544","8567","5422","4/3/2025 6:43:38 PM"
"14","95","9644","2370","5687","4048","7127","4/3/2025 6:51:04 PM"
"15","10066","9710","133","155","4909","246","4/3/2025 6:58:30 PM"
"16","1721","4564","190","2064","999","125","4/3/2025 7:05:56 PM"
"17","571","8013","8626","501","2342","8708","4/3/2025 7:13:22 PM"
"18","230","6328","4925","1991","509","1729","4/3/2025 7:20:48 PM"
"19","6153","237","2423","9644","166","5687","4/3/2025 7:28:14 PM"
"20","3182","4909","8544","2648","5422","155","4/3/2025 7:35:40 PM"
"21","999","2370","3467","181","133","8567","4/3/2025 7:43:06 PM"
"22","95","9101","125","7153","1071","2064","4/3/2025 7:50:32 PM"
"23","663","4048","9710","246","190","1058","4/3/2025 7:57:58 PM"
"24","1721","6329","10066","4564","7127","1073","4/3/2025 8:05:24 PM"
"25","155","8626","509","1729","571","6153","4/3/2025 8:12:50 PM"
"26","501","8013","999","237","2648","2370","4/3/2025 8:20:16 PM"
"27","4909","3467","133","5687","8708","2064","4/3/2025 8:27:42 PM"
"28","663","2342","1058","1991","181","7153","4/3/2025 8:35:08 PM"
"29","8567","9644","1721","190","3182","6329","4/3/2025 8:42:34 PM"
"30","5422","230","4048","10066","125","1071","4/3/2025 8:50:00 PM"
"31","4925","8544","7127","2423","9101","9710","4/3/2025 8:57:26 PM"
"32","166","246","4564","6328","1073","95","4/3/2025 9:04:52 PM"
"33","999","1058","4909","571","7153","501","4/3/2025 9:12:18 PM"
"34","190","237","5687","1729","155","3467","4/3/2025 9:19:44 PM"
"35","2370","6153","125","663","3182","509","4/3/2025 9:27:10 PM"
"36","8567","2648","10066","7127","9644","9101","4/3/2025 9:34:36 PM"
"37","95","4048","166","1721","133","230","4/3/2025 9:42:02 PM"
"38","8708","1073","1991","4564","8544","2064","4/3/2025 9:49:28 PM"
"39","181","1071","8626","6329","4925","246","4/4/2025 1:35:26 PM"
"40","8013","2423","2342","9710","5422","6328","4/4/2025 1:42:52 PM"
"41","3182","6153","7153","10066","9101","4909","4/4/2025 1:50:18 PM"
