"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"125","NUTRONs","","1859","1805","80.6","22","49","9.6","0.62","0.47","0.6","1"
"6329","The Bucks' Wrath","","1899","1840","86.4","20.1","57","9.3","0.74","0.34","0.7","2"
"3467","Windham Windup","","1826","1776","75.6","15.4","53.6","6.7","0.53","0.62","0.3","3"
"2342","Team Phoenix","","1732","1690","61.9","15.6","40.3","5.9","0.49","0.31","0.4","4"
"8708","Ov3R1y K0Mp13X","","1579","1569","39.4","4.6","30.4","4.3","0.33","0.34","0.3","5"
"6328","Mechanical Advantage","","1824","1774","75.4","22.5","43.2","9.7","0.7","0.54","0.5","6"
"9644","NEIA Robotics","","1657","1624","50.8","7.5","39.8","3.6","0.34","0.3","0.3","7"
"5687","The Outliers","","1844","1793","78.4","22.6","48","7.8","0.49","0.39","0.5","8"
"133","B.E.R.T.","","1799","1751","71.7","16.7","44.2","10.7","0.47","0.34","0.6","9"
"190","Gompei and the HERD","","1826","1777","75.7","21.7","46.3","7.8","0.58","0.69","0.6","10"
"4564","Orange Chaos","","1638","1611","48","9.6","37.9","0.5","0.31","0.21","0.1","11"
"230","Gaelhawks","","1710","1668","58.7","15.7","33.8","9.2","0.43","0.13","0.4","12"
"95","Grasshoppers","","1717","1674","59.6","18.4","34.4","6.8","0.41","0.09","0.4","13"
"237","Black Magic Robotics","","1596","1582","41.8","8.5","30.7","2.7","0.28","0.13","0.2","14"
"4909","Bionics","","1803","1755","72.3","20","42.5","9.7","0.51","0.4","0.6","15"
"2370","IBOTS","","1697","1656","56.7","8.9","40.7","7.1","0.44","0.29","0.4","16"
"571","Team Paragon Robotics","","1641","1613","48.5","10.2","37.3","1","0.45","0.17","0","17"
"1073","The Force Team","","1657","1624","50.7","13.7","29.2","7.9","0.42","0.17","0.6","18"
"155","The TechnoNuts","","1566","1562","37.4","9.8","22.7","5","0.53","-0.11","0.2","19"
"166","Chop Shop","","1696","1651","56.6","9.2","37","10.4","0.28","0.31","0.6","20"
"2423","The KwarQs","","1655","1621","50.6","14.6","29.9","6.1","0.5","0.28","0.3","21"
"9101","Green Mountain Robotics","","1596","1581","41.8","6.7","32.3","2.8","0.29","0.33","0.1","22"
"246","Lobstah Bots","","1552","1551","35.3","5.3","26.5","3.5","0.23","0.06","0.2","23"
"7127","LongMetal Robotics","","1683","1640","54.7","9.8","41.9","2.9","0.44","0.18","0.1","24"
"1721","Tidal Force","","1539","1542","33.4","5.6","23.4","4.4","0.33","0.02","0.2","25"
"1071","Team MAX","","1537","1540","33.1","5.1","25.5","2.6","0.37","0.1","0","26"
"2648","Infinite Loop","","1658","1623","50.9","8.9","39","3.1","0.26","0.16","0.1","27"
"1058","PVC Pirates","","1601","1584","42.5","11.2","24.4","6.9","0.29","-0.01","0.4","28"
"10066","CephaloSquad","","1507","1519","28.6","6.6","20.3","1.7","0.51","0.27","0","29"
"8013","Boston Lions","","1671","1631","52.8","7.9","37.7","7.3","0.43","-0.05","0.4","30"
"663","Power Sharks","","1592","1578","41.2","6.8","32.5","1.9","0.31","0.07","0.1","31"
"501","The PowerKnights","","1432","1454","17.6","4.5","11.4","1.8","0.27","-0.13","0","32"
"5422","Stormgears","","1615","1593","44.5","10.8","28.8","4.9","0.33","0.1","0.3","33"
"8567","Team Ultraviolet","","1543","1545","34.1","5.9","25.5","2.6","0.42","0.09","0.1","34"
"999","MechaRAMS","","1572","1565","38.3","6.9","27.8","3.6","0.3","-0.17","0.2","35"
"3182","Athena's Warriors","","1533","1537","32.6","5.6","19.8","7.3","0.3","-0.08","0.5","36"
"7153","Aetos Dios (Eagles of Zeus)","","1637","1609","47.9","11.7","30.4","5.7","0.4","0.21","0.3","37"
"2064","The Panther Project","","1556","1554","36","7.9","20.3","7.7","0.37","0.25","0.5","38"
"1991","The Dragons","","1520","1528","30.7","4","25.5","1.2","0.22","0.02","-0.1","39"
"509","Red Storm","","1624","1600","45.9","2.9","34.9","8.1","0.06","0.05","0.3","40"
"8626","Cyber Sailors","","1545","1546","34.3","7","25","2.3","0.19","-0.11","0.2","41"
"9710","Discovery PolyBotz","","1508","1519","28.8","7.5","20.8","0.5","0.32","0.05","0","42"
"6153","Blue Crew","","1459","1480","21.6","1.7","13.7","6.2","0.11","0","0.3","43"
"8544","Reinforcement","","1431","1453","17.4","3.5","10.9","3.1","0.16","-0.02","0.1","44"
"1729","Team Inconceivable!","","1584","1573","40.1","9.9","27.4","2.8","0.47","0.27","0.3","45"
"4925","The Resistance","","1420","1441","15.9","5","9.6","1.2","0.22","-0.06","0.1","46"
"181","Birds Of Prey","","1510","1521","29.1","2.2","25.7","1.2","0.12","-0.04","0","47"
"4048","Redshift","","1581","1571","39.6","8.4","25.1","6","0.24","-0.04","0.3","48"
