Scouter Name,Event,Match Level,Match Num,Robot,Team,Auto Amp,Auto Spkr,Compatible,Teleop Amp,Teleop Spkr,Harmony,Queue Time,Trap,Driver,Defense,Comments
River,2024nhgrs,qm,1,b1,6690,0,1,No,0,1,Soloist,'15-30,No,Not Observed,Not Observed,Sat in stage for most of teleop
River,2024nhgrs,qm,1,b2,663,0,0,No,3,3,Parked,'0-5,No,Medium,Didn’t Defend,
River,2024nhgrs,qm,1,b3,6620,0,0,No,0,0,Parked,'0-5,No,Low,Didn’t Defend,
Nate,2024nhgrs,qm,1,r1,95,0,3,No,0,6,None,Not Attempted,No,High,Didn’t Defend,
Nate,2024nhgrs,qm,1,r2,4909,0,1,Yes,3,4,Soloist,'15-30,No,High,Didn’t Defend,
Nate,2024nhgrs,qm,1,r3,1740,0,1,Yes,2,3,Parked,'15-30,No,Medium,Didn’t Defend,
River,2024nhgrs,qm,2,b1,3719,0,0,No,1,1,None,Not Attempted,No,Medium,Not Observed,
River,2024nhgrs,qm,2,b2,3464,0,3,No,2,0,None,Not Attempted,No,Low,Low,
River,2024nhgrs,qm,2,b3,126,0,1,No,0,9,Parked,'0-5,No,High,Didn’t Defend,
Nate,2024nhgrs,qm,2,r1,1071,1,0,No,4,0,Soloist,'>30,No,Medium,Didn’t Defend,
Nate,2024nhgrs,qm,2,r2,190,0,2,No,0,0,Parked,'>30,No,Medium,High,Got note stuck
Nate,2024nhgrs,qm,2,r3,6333,0,0,No,3,0,None,Not Attempted,No,Medium,Didn’t Defend,
River,2024nhgrs,qm,3,b1,1735,0,0,No,0,3,None,Not Attempted,No,Low,Not Observed,
River,2024nhgrs,qm,3,b2,175,0,2,No,2,1,Soloist,'0-5,No,Medium,High,
River,2024nhgrs,qm,3,b3,1768,0,0,No,0,4,Parked,'0-5,No,Medium,Medium,Distance shooter
Nate,2024nhgrs,qm,3,r1,7153,0,0,No,0,3,Parked,'5-15,No,Medium,Didn’t Defend,
Nate,2024nhgrs,qm,3,r2,181,0,0,No,2,0,Soloist,'5-15,No,Low,Didn’t Defend,Did not score starting note till 1 min into the match
